MSSubClass,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,Fireplaces,GarageType,GarageFinish,GarageCars,WoodDeckSF,OpenPorchSF,MoSold,YrSold
_3,65.0,8450.0,Reg,Inside,CollgCr,2Story,7,5,2003,2003,Gable,VinylSd,196.0,Gd,PConc,Gd,No,GLQ,706.0,150.0,856.0,Ex,854.0,1710.0,1,2,1,3,Gd,0,Attchd,RFn,2,0.0,61.0,2,2008
_2,80.0,9600.0,Reg,FR2,other_3,1Story,6,8,1976,1976,Gable,MetalSd,0.0,TA,CBlock,Gd,Gd,ALQ,978.0,284.0,1262.0,Ex,0.0,1262.0,0,2,0,3,TA,1,Attchd,RFn,2,298.0,0.0,5,2007
_3,68.0,11250.0,IR1,Inside,CollgCr,2Story,7,5,2001,2002,Gable,VinylSd,162.0,Gd,PConc,Gd,Mn,GLQ,486.0,434.0,920.0,Ex,866.0,1786.0,1,2,1,3,Gd,1,Attchd,RFn,2,0.0,42.0,9,2008
_2,60.0,9550.0,IR1,Corner,other_3,2Story,7,5,1915,1970,Gable,Wd Sdng,0.0,TA,BrkTil,TA,No,ALQ,216.0,540.0,756.0,Gd,756.0,1717.0,1,1,0,3,Gd,1,Detchd,Unf,3,0.0,35.0,2,2006
_3,84.0,14260.0,IR1,FR2,other_4,2Story,8,5,2000,2000,Gable,VinylSd,350.0,Gd,PConc,Gd,Av,GLQ,655.0,490.0,1145.0,Ex,1053.0,2198.0,1,2,1,4,Gd,1,Attchd,RFn,3,192.0,84.0,12,2008
_1,85.0,14115.0,IR1,Inside,other_2,1.5Fin,5,5,1993,1995,Gable,VinylSd,0.0,TA,Wood,Gd,No,GLQ,732.0,64.0,796.0,Ex,566.0,1362.0,1,1,1,1,TA,0,Attchd,Unf,2,40.0,30.0,10,2009
_2,75.0,10084.0,Reg,Inside,Somerst,1Story,8,5,2004,2005,Gable,VinylSd,186.0,Gd,PConc,Ex,Av,GLQ,1369.0,317.0,1686.0,Ex,0.0,1694.0,1,2,0,3,Gd,1,Attchd,RFn,2,255.0,57.0,8,2007
_3,70.0,10382.0,IR1,Corner,NWAmes,2Story,7,6,1973,1973,Gable,HdBoard,240.0,TA,CBlock,Gd,Mn,ALQ,859.0,216.0,1107.0,Ex,983.0,2090.0,1,2,1,3,TA,2,Attchd,RFn,2,235.0,204.0,11,2009
_1,51.0,6120.0,Reg,Inside,OldTown,1.5Fin,7,5,1931,1950,Gable,BrkFace,0.0,TA,BrkTil,TA,No,Unf,0.0,952.0,952.0,Gd,752.0,1774.0,0,2,0,2,TA,2,Detchd,Unf,2,90.0,0.0,4,2008
_1,50.0,7420.0,Reg,Corner,other_1,other,5,6,1939,1950,Gable,MetalSd,0.0,TA,BrkTil,TA,No,GLQ,851.0,140.0,991.0,Ex,0.0,1077.0,1,1,0,2,TA,2,Attchd,RFn,1,0.0,4.0,1,2008
_2,70.0,11200.0,Reg,Inside,Sawyer,1Story,5,5,1965,1965,Hip,HdBoard,0.0,TA,CBlock,TA,No,Rec,906.0,134.0,1040.0,Ex,0.0,1040.0,1,1,0,3,TA,0,Detchd,Unf,1,0.0,0.0,2,2008
_3,85.0,11924.0,IR1,Inside,NridgHt,2Story,9,5,2005,2006,Hip,other,286.0,Ex,PConc,Ex,No,GLQ,998.0,177.0,1175.0,Ex,1142.0,2324.0,1,3,0,4,Ex,2,BuiltIn,Fin,3,147.0,21.0,7,2006
